ID,Time[s],0:SPI: MOSI data
0,0.30199,AE
1,0.302008,A8
2,0.302026,3F
3,0.302044,D5
4,0.302062,50
5,0.30208,C0
6,0.302099,D3
7,0.302117,60
8,0.302135,DC
9,0.302153,00
10,0.302171,20
11,0.302189,81
12,0.302207,BF
13,0.302225,A0
14,0.302243,A4
15,0.302261,A6
16,0.30228,AD
17,0.302298,8A
18,0.302316,D9
19,0.302334,1F
20,0.302352,DB
21,0.30237,30
22,0.302389,B0
23,0.302408,00
24,0.302426,10
25,0.302476,B1
26,0.302495,00
27,0.302513,10
28,0.302563,B2
29,0.302582,00
30,0.3026,10
31,0.302651,B3
32,0.302669,00
33,0.302687,10
34,0.302738,B4
35,0.302756,00
36,0.302774,10
37,0.302825,B5
38,0.302843,00
39,0.302861,10
40,0.302912,B6
41,0.30293,00
42,0.302948,10
43,0.302999,B7
44,0.303017,00
45,0.303035,10
46,0.303086,B8
47,0.303104,00
48,0.303122,10
49,0.303173,B9
50,0.303191,00
51,0.303209,10
52,0.30326,BA
53,0.303278,00
54,0.303296,10
55,0.303347,BB
56,0.303365,00
57,0.303383,10
58,0.303434,BC
59,0.303452,00
60,0.30347,10
61,0.303521,BD
62,0.303539,00
63,0.303557,10
64,0.303608,BE
65,0.303626,00
66,0.303644,10
67,0.303695,BF
68,0.303713,00
69,0.303731,10
70,0.303783,B0
71,0.303801,00
72,0.303819,10
73,0.303837,00
74,0.303856,00
75,0.303875,00
76,0.303893,00
77,0.303912,00
78,0.30393,00
79,0.303949,00
80,0.303968,00
81,0.303986,00
82,0.304005,00
83,0.304023,00
84,0.304042,00
85,0.304061,00
86,0.304079,00
87,0.304098,00
88,0.304116,00
89,0.304135,00
90,0.304154,00
91,0.304172,00
92,0.304191,00
93,0.304209,00
94,0.304228,00
95,0.304247,00
96,0.304265,00
97,0.304284,00
98,0.304302,00
99,0.304321,00
100,0.30434,00
101,0.304358,00
102,0.304377,00
103,0.304395,00
104,0.304414,00
105,0.304433,00
106,0.304451,00
107,0.30447,00
108,0.304488,00
109,0.304507,00
110,0.304525,00
111,0.304544,00
112,0.304563,00
113,0.304581,00
114,0.3046,00
115,0.304618,00
116,0.304637,00
117,0.304656,00
118,0.304674,00
119,0.304693,00
120,0.304711,00
121,0.30473,00
122,0.304749,00
123,0.304767,00
124,0.304786,00
125,0.304804,00
126,0.304823,00
127,0.304842,00
128,0.30486,00
129,0.304879,00
130,0.304897,00
131,0.304916,00
132,0.304935,00
133,0.304953,00
134,0.304972,00
135,0.30499,00
136,0.305009,00
137,0.305028,B1
138,0.305046,00
139,0.305064,10
140,0.305083,00
141,0.305101,00
142,0.30512,00
143,0.305138,00
144,0.305157,00
145,0.305176,00
146,0.305194,00
147,0.305213,00
148,0.305231,00
149,0.30525,00
150,0.305269,00
151,0.305287,00
152,0.305306,00
153,0.305324,00
154,0.305343,00
155,0.305362,00
156,0.30538,00
157,0.305399,00
158,0.305417,00
159,0.305436,00
160,0.305455,00
161,0.305473,00
162,0.305492,00
163,0.30551,00
164,0.305529,00
165,0.305548,00
166,0.305566,00
167,0.305585,00
168,0.305603,00
169,0.305622,00
170,0.305641,00
171,0.305659,00
172,0.305678,00
173,0.305696,00
174,0.305715,00
175,0.305734,00
176,0.305752,00
177,0.305771,00
178,0.305789,00
179,0.305808,00
180,0.305827,00
181,0.305845,00
182,0.305864,00
183,0.305882,00
184,0.305901,00
185,0.305919,00
186,0.305938,00
187,0.305957,00
188,0.305975,00
189,0.305994,00
190,0.306012,00
191,0.306031,00
192,0.30605,00
193,0.306068,00
194,0.306087,00
195,0.306105,00
196,0.306124,00
197,0.306143,00
198,0.306161,00
199,0.30618,00
200,0.306198,00
201,0.306217,00
202,0.306236,00
203,0.306254,00
204,0.306273,B2
205,0.306291,00
206,0.306309,10
207,0.306328,00
208,0.306346,00
209,0.306365,00
210,0.306384,00
211,0.306402,00
212,0.306421,00
213,0.306439,00
214,0.306458,00
215,0.306477,00
216,0.306495,00
217,0.306514,00
218,0.306532,00
219,0.306551,00
220,0.30657,00
221,0.306588,00
222,0.306607,00
223,0.306625,00
224,0.306644,00
225,0.306663,00
226,0.306681,00
227,0.3067,00
228,0.306718,00
229,0.306737,00
230,0.306756,00
231,0.306774,00
232,0.306793,00
233,0.306811,00
234,0.30683,00
235,0.306849,00
236,0.306867,00
237,0.306886,00
238,0.306904,00
239,0.306923,00
240,0.306942,00
241,0.30696,00
242,0.306979,00
243,0.306997,00
244,0.307016,00
245,0.307035,00
246,0.307053,00
247,0.307072,00
248,0.30709,00
249,0.307109,00
250,0.307128,00
251,0.307146,00
252,0.307165,00
253,0.307183,00
254,0.307202,00
255,0.307221,00
256,0.307239,00
257,0.307258,00
258,0.307276,00
259,0.307295,00
260,0.307313,00
261,0.307332,00
262,0.307351,00
263,0.307369,00
264,0.307388,00
265,0.307406,00
266,0.307425,00
267,0.307444,00
268,0.307462,00
269,0.307481,00
270,0.307499,00
271,0.307518,B3
272,0.307537,00
273,0.307555,10
274,0.307573,00
275,0.307592,00
276,0.30761,00
277,0.307629,00
278,0.307648,00
279,0.307666,00
280,0.307685,00
281,0.307703,00
282,0.307722,00
283,0.307741,00
284,0.307759,00
285,0.307778,00
286,0.307796,00
287,0.307815,00
288,0.307833,00
289,0.307852,00
290,0.307871,00
291,0.307889,00
292,0.307908,00
293,0.307926,00
294,0.307945,00
295,0.307964,00
296,0.307982,00
297,0.308001,00
298,0.308019,00
299,0.308038,00
300,0.308057,00
301,0.308075,00
302,0.308094,00
303,0.308112,00
304,0.308131,00
305,0.30815,00
306,0.308168,00
307,0.308187,00
308,0.308205,00
309,0.308224,00
310,0.308243,00
311,0.308261,00
312,0.30828,00
313,0.308298,00
314,0.308317,00
315,0.308336,00
316,0.308354,00
317,0.308373,00
318,0.308391,00
319,0.30841,00
320,0.308429,00
321,0.308447,00
322,0.308466,00
323,0.308484,00
324,0.308503,00
325,0.308522,00
326,0.30854,00
327,0.308559,00
328,0.308577,00
329,0.308596,00
330,0.308614,00
331,0.308633,00
332,0.308652,00
333,0.30867,00
334,0.308689,00
335,0.308707,00
336,0.308726,00
337,0.308745,00
338,0.308764,B4
339,0.308782,00
340,0.3088,10
341,0.308818,00
342,0.308837,00
343,0.308856,00
344,0.308874,00
345,0.308893,00
346,0.308911,00
347,0.30893,00
348,0.308949,00
349,0.308967,00
350,0.308986,00
351,0.309004,00
352,0.309023,00
353,0.309041,00
354,0.30906,00
355,0.309079,00
356,0.309097,00
357,0.309116,00
358,0.309134,00
359,0.309153,00
360,0.309172,00
361,0.30919,00
362,0.309209,00
363,0.309227,00
364,0.309246,00
365,0.309265,00
366,0.309283,00
367,0.309302,00
368,0.30932,00
369,0.309339,00
370,0.309358,00
371,0.309376,00
372,0.309395,00
373,0.309413,00
374,0.309432,00
375,0.309451,00
376,0.309469,00
377,0.309488,00
378,0.309506,00
379,0.309525,00
380,0.309544,00
381,0.309562,00
382,0.309581,00
383,0.309599,00
384,0.309618,00
385,0.309637,00
386,0.309655,00
387,0.309674,00
388,0.309692,00
389,0.309711,00
390,0.30973,00
391,0.309748,00
392,0.309767,00
393,0.309785,00
394,0.309804,00
395,0.309822,00
396,0.309841,00
397,0.30986,00
398,0.309878,00
399,0.309897,00
400,0.309915,00
401,0.309934,00
402,0.309953,00
403,0.309971,00
404,0.30999,00
405,0.310009,B5
406,0.310027,00
407,0.310045,10
408,0.310064,00
409,0.310082,00
410,0.310101,00
411,0.310119,00
412,0.310138,00
413,0.310157,00
414,0.310175,00
415,0.310194,00
416,0.310212,00
417,0.310231,00
418,0.31025,00
419,0.310268,00
420,0.310287,00
421,0.310305,00
422,0.310324,00
423,0.310342,00
424,0.310361,00
425,0.31038,00
426,0.310398,00
427,0.310417,00
428,0.310435,00
429,0.310454,00
430,0.310473,00
431,0.310491,00
432,0.31051,00
433,0.310528,00
434,0.310547,00
435,0.310566,00
436,0.310584,00
437,0.310603,00
438,0.310621,00
439,0.31064,00
440,0.310659,00
441,0.310677,00
442,0.310696,00
443,0.310714,00
444,0.310733,00
445,0.310752,00
446,0.31077,00
447,0.310789,00
448,0.310807,00
449,0.310826,00
450,0.310845,00
451,0.310863,00
452,0.310882,00
453,0.3109,00
454,0.310919,00
455,0.310938,00
456,0.310956,00
457,0.310975,00
458,0.310993,00
459,0.311012,00
460,0.311031,00
461,0.311049,00
462,0.311068,00
463,0.311086,00
464,0.311105,00
465,0.311124,00
466,0.311142,00
467,0.311161,00
468,0.311179,00
469,0.311198,00
470,0.311216,00
471,0.311235,00
472,0.311254,B6
473,0.311272,00
474,0.31129,10
475,0.311309,00
476,0.311327,00
477,0.311346,00
478,0.311365,00
479,0.311383,00
480,0.311402,00
481,0.31142,00
482,0.311439,00
483,0.311458,00
484,0.311476,00
485,0.311495,00
486,0.311513,00
487,0.311532,00
488,0.311551,00
489,0.311569,00
490,0.311588,00
491,0.311606,00
492,0.311625,00
493,0.311644,00
494,0.311662,00
495,0.311681,00
496,0.311699,00
497,0.311718,00
498,0.311736,00
499,0.311755,00
500,0.311774,00
501,0.311792,00
502,0.311811,00
503,0.311829,00
504,0.311848,00
505,0.311867,00
506,0.311885,00
507,0.311904,00
508,0.311922,00
509,0.311941,00
510,0.31196,00
511,0.311978,00
512,0.311997,00
513,0.312015,00
514,0.312034,00
515,0.312053,00
516,0.312071,00
517,0.31209,00
518,0.312108,00
519,0.312127,00
520,0.312146,00
521,0.312164,00
522,0.312183,00
523,0.312201,00
524,0.31222,00
525,0.312239,00
526,0.312257,00
527,0.312276,00
528,0.312294,00
529,0.312313,00
530,0.312332,00
531,0.31235,00
532,0.312369,00
533,0.312387,00
534,0.312406,00
535,0.312425,00
536,0.312443,00
537,0.312462,00
538,0.31248,00
539,0.312499,B7
540,0.312517,00
541,0.312535,10
542,0.312554,00
543,0.312573,00
544,0.312591,00
545,0.31261,00
546,0.312628,00
547,0.312647,00
548,0.312666,00
549,0.312684,00
550,0.312703,00
551,0.312721,00
552,0.31274,00
553,0.312759,00
554,0.312777,00
555,0.312796,00
556,0.312814,00
557,0.312833,00
558,0.312852,00
559,0.31287,00
560,0.312889,00
561,0.312907,00
562,0.312926,00
563,0.312945,00
564,0.312963,00
565,0.312982,00
566,0.313,00
567,0.313019,00
568,0.313038,00
569,0.313056,00
570,0.313075,00
571,0.313093,00
572,0.313112,00
573,0.31313,00
574,0.313149,00
575,0.313168,00
576,0.313186,00
577,0.313205,00
578,0.313223,00
579,0.313242,00
580,0.313261,00
581,0.313279,00
582,0.313298,00
583,0.313316,00
584,0.313335,00
585,0.313354,00
